losses/action_loss,losses/dist_entropy,losses/value_loss,test/mean_episode_reward,test/median_episode_reward,train/mean_episode_reward,train/median_episode_reward,train/nupdates,train/total_num_steps
-0.0006012374360579997,2.7076660096645355,0.5108258736630281,0.6,0.0,2.1,2.0,0,16384
-0.0005314889034101119,2.705417960882187,0.14649974927306175,0.5,0.0,1.0,0.5,1,32768
-0.0005577204768390706,2.7018632292747498,0.14252445536355177,0.5,0.0,0.7,0.0,2,49152
-0.0004886602982878685,2.7010809977849326,0.1083133885016044,0.8,1.0,0.6,0.0,3,65536
-0.0004395856619036446,2.699800411860148,0.12401930584261815,1.1,1.0,0.5,0.0,4,81920
-0.00014981996112813553,2.6944983502229056,0.16772513215740523,1.4,1.0,1.0,1.0,5,98304
-0.001155911343327413,2.692255914211273,0.15672028375168642,0.4,0.0,1.9,1.0,6,114688
-0.0014977929240558296,2.679690589507421,0.13593276093403497,0.9,0.0,0.8,0.0,7,131072
-0.0014053077320568264,2.669563372929891,0.16009370982646942,0.8,1.0,1.1,1.0,8,147456
-0.002155030088033527,2.6668852170308432,0.15607813994089761,1.8,1.0,0.8,0.5,9,163840
-0.002098270022543147,2.6771629055341086,0.16913371595243612,1.4,0.5,1.2,0.5,10,180224
-0.0013575792011882488,2.678434203068415,0.17928235046565533,0.8,0.5,0.8,0.0,11,196608
-0.002538676645296315,2.6778885821501413,0.15670903275410333,0.3,0.0,1.1,1.0,12,212992
-0.001987086172448471,2.679355502128601,0.14769480812052885,1.7,1.0,0.9,1.0,13,229376
-0.00337751229138424,2.67167666554451,0.12486709157625835,0.6,0.0,1.3,0.5,14,245760
-0.001610144089985018,2.668473760286967,0.23135605392356715,0.7,0.5,1.0,0.5,15,262144
-0.0033853864491296313,2.6757494707902274,0.12717581571390232,1.1,0.5,0.8,0.5,16,278528
-0.0035403648556287712,2.66890087723732,0.1580636507521073,1.0,0.5,1.7,1.0,17,294912
-0.0036019560599622005,2.668969541788101,0.13668427616357803,0.9,1.0,0.7,0.0,18,311296
-0.003956385577718417,2.6731090247631073,0.12636845093220472,0.5,0.0,1.0,0.5,19,327680
-0.004359441770551105,2.6745421389738717,0.12388467012594144,0.7,0.5,1.6,1.0,20,344064
-0.004696071788202971,2.6660418013731637,0.1342040632540981,0.5,0.0,1.2,1.0,21,360448
-0.004928047147889932,2.6576870381832123,0.13460320855180422,0.8,0.0,0.4,0.0,22,376832
-0.005462970507020752,2.659188042084376,0.124030034057796,1.2,0.5,1.3,1.0,23,393216
-0.004530253567888091,2.654807517925898,0.13438112071404854,0.7,0.0,1.7,1.0,24,409600
-0.007999844722993052,2.651543299357096,0.13047733685622612,1.2,1.0,1.9,1.0,25,425984
-0.008301768772071227,2.6368097166220346,0.11963282556583484,0.3,0.0,1.4,1.0,26,442368
-0.005161047913134098,2.6312667628129325,0.1506502175082763,0.8,0.5,1.1,0.5,27,458752
-0.008322849016015729,2.6264163156350455,0.12638389598578215,1.1,0.0,1.3,1.0,28,475136
-0.007666837511351332,2.6366759637991586,0.11660016297052304,1.6,1.0,1.1,0.5,29,491520
-0.009155572450254112,2.6283450722694397,0.10882753102729718,1.7,1.5,1.0,0.0,30,507904
-0.010386519347472737,2.625560611486435,0.1161111444234848,0.9,0.0,1.2,0.0,31,524288
-0.00656968547264114,2.6108918885389962,0.15665722079575062,1.7,2.0,2.3,1.5,32,540672
-0.007770896656438708,2.603360195954641,0.1551994572704037,1.1,0.5,1.9,1.5,33,557056
-0.0087798451713752,2.591950078805288,0.1320649174352487,1.4,0.5,1.9,1.5,34,573440
-0.011636622793351611,2.588272343079249,0.12519889945785204,0.6,0.0,0.9,1.0,35,589824
-0.009933434523797283,2.5896417697270713,0.12676723084102073,0.9,0.5,1.1,1.0,36,606208
-0.009396942041348666,2.583520323038101,0.1174515150487423,0.4,0.0,1.9,1.0,37,622592
-0.012132685127047202,2.5691929260889688,0.11719141248613596,1.1,0.0,2.0,0.5,38,638976
-0.009941856483540809,2.582874874273936,0.10501397990932067,0.9,0.0,0.8,0.0,39,655360
-0.006160209188237786,2.5742216308911643,0.14776006899774075,1.0,0.0,1.5,0.0,40,671744
-0.008852405609407773,2.5752896765867868,0.13449681270867586,0.8,0.0,2.7,1.5,41,688128
-0.00957489175683198,2.5703840951124826,0.12246299535036087,1.4,1.0,1.1,0.0,42,704512
-0.010914912214502692,2.563174178202947,0.12490465336789687,0.9,1.0,0.9,1.0,43,720896
-0.010045630158856511,2.562760889530182,0.13933923033376536,0.7,0.0,1.3,1.0,44,737280
-0.013441191869787872,2.563863674799601,0.1358184494699041,1.7,1.0,0.9,1.0,45,753664
-0.009719932878700396,2.5581509371598563,0.15335318353027105,1.2,1.0,1.3,1.0,46,770048
-0.011986963615830367,2.545593390862147,0.13035264145582914,1.0,0.5,2.0,2.0,47,786432
-0.012303259699062133,2.5530948539574942,0.10860595883180697,1.0,1.0,1.7,1.5,48,802816
-0.012309491110499948,2.539561072985331,0.12326182797551155,0.9,0.0,1.3,1.0,49,819200
-0.012087409219626958,2.520308345556259,0.1298273435483376,1.2,1.0,3.1,3.0,50,835584
-0.00960185518488288,2.522243450085322,0.15459892836709818,1.8,0.5,1.5,0.0,51,851968
-0.012627140298718587,2.514897495508194,0.13420363639791807,1.2,1.0,1.3,1.0,52,868352
-0.013832027519432208,2.502137631177902,0.1046768690769871,0.9,0.5,1.1,1.0,53,884736
